vent_id,scene_id,observed,date,plume_latitude,plume_longitude,plume_id,emission_auto,emission_uncertainty_auto,qc_missing,qc_qc,qc
125,GAO20220422t162854p0000,True,2022-04-22,33.394383,-87.265558,GAO20220422t162854p0000-B,1646.966750215131,395.71822883681136,,pass,pass
125,GAO20220419t165329p0000,True,2022-04-19,33.394182,-87.265674,GAO20220419t165329p0000-A,1617.4027973662735,847.7604910043489,,pass,pass
125,GAO20220419t163855p0000,True,2022-04-19,33.394264,-87.265529,GAO20220419t163855p0000-B,1225.877692609753,471.0575315641687,,pass,pass
126,GAO20220923t175137p0000,True,2022-09-23,33.366291,-87.335066,GAO20220923t175137p0000-A,333.27747648739285,118.32738359475414,,pass,pass
126,GAO20220428t165558p0000,True,2022-04-28,33.366042,-87.335058,GAO20220428t165558p0000-C,980.6494652003532,150.4526949906493,,pass,pass
126,GAO20220422t165446p0000,True,2022-04-22,33.366034,-87.335054,GAO20220422t165446p0000-D,957.0442806632718,153.6794466458387,,pass,pass
126,GAO20220419t171816p0000,True,2022-04-19,33.366351,-87.335051,GAO20220419t171816p0000-E,354.1173438117677,101.80348000263436,,pass,pass
127,GAO20220923t175137p0000,True,2022-09-23,33.407725,-87.336394,GAO20220923t175137p0000-B,3129.776301074737,1173.4059922949582,,pass,pass
127,GAO20220428t165558p0000,True,2022-04-28,33.407757,-87.336679,GAO20220428t165558p0000-A,1720.082004368713,389.2224646670464,,pass,pass
127,GAO20220422t170740p0000,True,2022-04-22,33.407885,-87.336495,GAO20220422t170740p0000-A,1423.8419119930625,387.54315590943736,,pass,pass
127,GAO20220422t165446p0000,True,2022-04-22,33.407979,-87.336632,GAO20220422t165446p0000-B,1624.7297130542345,311.8266783074924,,pass,pass
127,GAO20220419t171816p0000,True,2022-04-19,33.407845,-87.336542,GAO20220419t171816p0000-B,2326.310424369452,958.333346644714,,pass,pass
131,GAO20220923t175137p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
131,GAO20220428t165558p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
131,GAO20220422t165446p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
131,GAO20220419t171816p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
132,GAO20220923t172122p0000,True,2022-09-23,33.32179798,-87.24200454,GAO20220923t172122p0000-C,224.59880888429964,104.90101594447684,,pass,pass
132,GAO20220428t163239p0000,True,2022-04-28,33.32177339,-87.24205035,GAO20220428t163239p0000-F,186.3406792047324,34.19579131524872,,pass,pass
132,GAO20220428t162445p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
132,GAO20220422t161650p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
132,GAO20220419t163855p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
133,GAO20220923t174201p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
133,GAO20220428t164817p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
133,GAO20220422t164212p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
