facility_id,facility_name,msha_identification_number,facility_name_state,MINE_ID,STATE,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,CURRENT_103I,CURRENT_103I_DT
1008766.0,OHIO COUNTY MINE,4601436,,4601436.0,WV,Underground,Active,08/30/2002,7.0,8.0,3.0,0.0,Inspect Once Every 5-days,08/22/1994
1011237.0,WHITE OAK RESOURCES MINE NO. 1/HAMILTON COUNTY COAL,1103203,MINE NO. 1,1103203.0,IL,Underground,Active,05/04/2020,7.0,8.0,3.0,1.0,Inspect Once Every 5-days,01/29/2015
1008764.0,HARRISON COUNTY MINE,4601318,HARRISON COUNTY MINE,4601318.0,WV,Underground,Active,05/20/1999,7.0,8.0,3.0,0.0,Inspect Once Every 5-days,04/01/1980
1011240.0,OAKTOWN FUELS MINE NO. 2,1202418,,1202418.0,IN,Underground,Active,03/11/2013,5.0,8.0,2.0,1.0,Inspect Once Every 5-days,11/12/2013
1014681.0,CEDAR GROVE NO.3 MINE,4609611,,4609611.0,WV,Underground,Active,09/28/2022,6.0,9.0,2.0,1.0,Never Had 103I Status,
,CARDINAL OPERATING POWER PLANT,,CARDINAL OPERATING POWER PLANT,,,,,,,,,,,
,ELK CREEK,,ELK CREEK,,,,,,,,,,,
,FEDERAL #2 MINE,4601456,FEDERAL #2 MINE,4601456.0,WV,Facility,Abandoned,01/13/2021,0.0,0.0,0.0,0.0,Removed From 103I Status,05/07/2018
,GALATIA MINE,1102752,GALATIA MINE,1102752.0,IL,Facility,NonProducing,04/05/2018,5.0,0.0,0.0,0.0,Removed From 103I Status,04/29/2017
,HOPEDALE MINE,3300968,HOPEDALE MINE,3300968.0,OH,Underground,Active,06/30/2021,5.0,10.0,2.0,1.0,Inspect Once Every 15-days,09/28/2023
,JIM WALTER NO 5,0101322,JIM WALTER NO 5,101322.0,AL,Underground,Abandoned and Sealed,04/26/2007,0.0,0.0,0.0,0.0,Inspect Once Every 5-days,04/01/1980
,MCCOY ELKHORN COAL,,MCCOY ELKHORN COAL,,,,,,,,,,,
,OIL AND GAS,,OIL AND GAS,,,,,,,,,,,
,SEARLES MINE NO 8,0101322,SEARLES MINE NO 8,101322.0,AL,Underground,Abandoned and Sealed,04/26/2007,0.0,0.0,0.0,0.0,Inspect Once Every 5-days,04/01/1980
,SKYLINE MINE,4201566,SKYLINE MINE,4201566.0,UT,Underground,Active,12/04/2012,7.0,10.0,2.0,1.0,Removed From 103I Status,11/10/2022
,UNKNOWN MINE,,UNKNOWN MINE,,,,,,,,,,,
